Periode,dtx
1,4785
2,4844
3,4683
4,4614
5,4634
6,4603
7,4535
8,4510
9,4506
10,4587
11,4632
12,4564
13,4552
14,4471
15,4422
16,4443
17,4375
18,4403
19,4286
20,4346
21,4421
22,4294
23,4336
24,4508
25,4493
26,4358
27,4391
28,4435
29,4434
30,4409
31,4463
32,4395
33,4329
34,4728
35,4739
36,4586
37,4554
38,4583
39,4588
40,4501
41,4550
42,4457
43,4454
44,4389
45,4263
46,4209
47,4149
48,4215
49,4121
50,4204
51,4220
52,4265
53,4347
54,4169
55,4438
56,4355
57,4453
58,4389
59,4266
60,4292
61,4226
62,4262
63,4122
64,4059
65,4084
66,3941
67,3932
68,3932
69,3901
70,3933
71,3960
72,3974
73,3919
74,3917
75,3889
76,3832
77,3794
78,3798
79,3901
80,3785
81,3867
82,3816
83,3746
84,3579
85,3502
86,3475
87,3293
88,3277
89,3127
90,3148
91,3330
92,3359
93,3534
94,3410
95,3483
96,3518
97,3308
98,3187
99,3359
100,3304
101,3355
102,3277
103,3253
104,3282
105,3282
106,3236
107,3337
108,3230
109,3372
110,3489
111,3431
112,3448
113,3426
114,3355
115,3251
116,3324
117,3421
118,3268
119,3289
120,3160
121,3161
122,3107
123,3077
124,3129
125,3074
126,3104
127,3089
128,3084
129,3131
130,3156
131,3140
132,3165
133,3074
134,3080
135,3031
136,3013
137,2996
138,2954
139,2931
140,2957
141,2992
142,2946
143,2894
144,2912
145,2836
146,2789
147,2788
148,2786
149,2821
150,2756
151,2756
